date,avarage
1815-12-01,1.2209999999999996
1816-01-01,2737
1816-02-01,0.6759999999999997
1816-03-01,3905
1816-04-01,7606
1816-05-01,10.594000000000001
1816-06-01,11.79
1816-07-01,12.267000000000001
1816-08-01,12.57
1816-09-01,10.39
1816-10-01,5699
1816-11-01,4058
1816-12-01,0.9580000000000002
1817-01-01,1.54
1817-02-01,3.6489999999999996
1817-03-01,4569
1817-04-01,7.8889999999999985
1817-05-01,9476
1817-06-01,11287
1817-07-01,12.072000000000001
1817-08-01,13.402999999999999
1817-09-01,8.812000000000001
1817-10-01,6.2029999999999985
1817-11-01,4638
1817-12-01,0.16999999999999993
1818-01-01,1.2040000000000002
1818-02-01,0.7549999999999999
1818-03-01,5565
1818-04-01,9901
1818-05-01,11247
1818-06-01,13825
1818-07-01,13.51
1818-08-01,13.165999999999999
1818-09-01,10578
1818-10-01,6654
1818-11-01,5035
1818-12-01,2507
1819-01-01,1.0140000000000002
1819-02-01,2286
1819-03-01,2931
1819-04-01,7029
1819-05-01,9851
1819-06-01,12526
1819-07-01,13038
1819-08-01,12557
1819-09-01,10.893999999999998
1819-10-01,9.312000000000001
1819-11-01,5.15
1819-12-01,1842
1820-01-01,1236
1820-02-01,2145
1820-03-01,4618
1820-04-01,8.7
1820-05-01,11.62
1820-06-01,13323
1820-07-01,13311
1820-08-01,11978
1820-09-01,11.16
1820-10-01,7.587999999999999
1820-11-01,4.4430000000000005
1820-12-01,1273
1821-01-01,2.9989999999999997
1821-02-01,3758
1821-03-01,5.462000000000001
1821-04-01,7.738999999999999
1821-05-01,11.3
1821-06-01,12608
1821-07-01,13.039000000000001
1821-08-01,13145
1821-09-01,10178
1821-10-01,8535
1821-11-01,5601
1821-12-01,2717
1822-01-01,2759
1822-02-01,4465
1822-03-01,7.787000000000001
1822-04-01,8.277999999999999
1822-05-01,10486
1822-06-01,13067
1822-07-01,14212
1822-08-01,13215
1822-09-01,10695
1822-10-01,7.773999999999999
1822-11-01,4501
1822-12-01,1.0210000000000004
1823-01-01,1758
1823-02-01,1966
1823-03-01,5.0680000000000005
1823-04-01,7.664999999999999
1823-05-01,10563
1823-06-01,13958
1823-07-01,14197
1823-08-01,13.13
1823-09-01,10198
1823-10-01,7.641999999999999
1823-11-01,4508
1823-12-01,1971
1824-01-01,2651
1824-02-01,2679
1824-03-01,5357
1824-04-01,8375
1824-05-01,11132
1824-06-01,13427
1824-07-01,14.83
1824-08-01,13.437000000000001
1824-09-01,11528
1824-10-01,8.197000000000001
1824-11-01,5.877000000000001
1824-12-01,5.0760000000000005
1825-01-01,3213
1825-02-01,3092
1825-03-01,5365
1825-04-01,8988
1825-05-01,10751
1825-06-01,13765
1825-07-01,14007
1825-08-01,13269
1825-09-01,11148
1825-10-01,7.978999999999999
1825-11-01,6058
1825-12-01,3037
1826-01-01,1893
1826-02-01,1533
1826-03-01,4888
1826-04-01,8.402999999999999
1826-05-01,11.803999999999998
1826-06-01,13.02
1826-07-01,14.482000000000001
1826-08-01,13.109000000000002
1826-09-01,11178
1826-10-01,8459
1826-11-01,6.6339999999999995
1826-12-01,4876
1827-01-01,3593
1827-02-01,4415
1827-03-01,6141
1827-04-01,9.428999999999998
1827-05-01,11807
1827-06-01,13548
1827-07-01,14.684000000000001
1827-08-01,13694
1827-09-01,10883
1827-10-01,8.51
1827-11-01,6279
1827-12-01,2722
1828-01-01,0.5950000000000002
1828-02-01,1.8530000000000002
1828-03-01,5729
1828-04-01,8737
1828-05-01,11281
1828-06-01,14124
1828-07-01,14384
1828-08-01,13635
1828-09-01,10.079999999999998
1828-10-01,8.655999999999999
1828-11-01,5.957000000000001
1828-12-01,2.9530000000000003
1829-01-01,2032
1829-02-01,1715
1829-03-01,5061
1829-04-01,7.814999999999999
1829-05-01,11336
1829-06-01,12.86
1829-07-01,14225
1829-08-01,13.399000000000001
1829-09-01,10598
1829-10-01,8.806000000000001
1829-11-01,5003
1829-12-01,2452
1830-01-01,2.9570000000000003
1830-02-01,4085
1830-03-01,4.4540000000000015
1830-04-01,8.841000000000001
1830-05-01,10202
1830-06-01,12827
1830-07-01,14942
1830-08-01,13386
1830-09-01,10.54
1830-10-01,7.9929999999999986
1830-11-01,7.492999999999999
1830-12-01,4481
1831-01-01,2182
1831-02-01,2479
1831-03-01,4558
1831-04-01,7731
1831-05-01,10.994000000000002
1831-06-01,13203
1831-07-01,13.58
1831-08-01,12.49
1831-09-01,9946
1831-10-01,7.83
1831-11-01,4412
1831-12-01,2265
1832-01-01,1.7169999999999999
1832-02-01,1833
1832-03-01,4.65
1832-04-01,8059
1832-05-01,10489
1832-06-01,12.857000000000001
1832-07-01,13727
1832-08-01,11966
1832-09-01,10.425999999999998
1832-10-01,8634
1832-11-01,4.2620000000000005
1832-12-01,0.7819999999999996
1833-01-01,2006
1833-02-01,2815
1833-03-01,4521
1833-04-01,7869
1833-05-01,10581
1833-06-01,13.049000000000001
1833-07-01,13.802999999999999
1833-08-01,13.222000000000001
1833-09-01,11236
1833-10-01,7.899999999999999
1833-11-01,6596
1833-12-01,2.5580000000000003
1834-01-01,0.3340000000000001
1834-02-01,2329
1834-03-01,5.736000000000001
1834-04-01,8.084999999999999
1834-05-01,11.234000000000002
1834-06-01,12.799000000000001
1834-07-01,14197
1834-08-01,13412
1834-09-01,11571
1834-10-01,8.616999999999999
1834-11-01,6355
1834-12-01,3092
1835-01-01,2551
1835-02-01,2967
1835-03-01,4507
1835-04-01,7.768999999999999
1835-05-01,10171
1835-06-01,12007
1835-07-01,13.129000000000001
1835-08-01,12.322000000000001
1835-09-01,9942
1835-10-01,7.834999999999999
1835-11-01,4312
1835-12-01,1198
1836-01-01,1.67
1836-02-01,2371
1836-03-01,5.4479999999999995
1836-04-01,7.314999999999999
1836-05-01,10.279000000000002
1836-06-01,12.549000000000001
1836-07-01,13.645999999999999
1836-08-01,12.83
1836-09-01,10.812000000000001
1836-10-01,8756
1836-11-01,3.8139999999999996
1836-12-01,2.86
1837-01-01,1.94
1837-02-01,2619
1837-03-01,3865
1837-04-01,6.555999999999999
1837-05-01,9973
1837-06-01,12099
1837-07-01,13526
1837-08-01,13.017999999999999
1837-09-01,10805
1837-10-01,7653
1837-11-01,4.1690000000000005
1837-12-01,2285
1838-01-01,-0.5569999999999999
1838-02-01,1.5630000000000002
1838-03-01,3.7230000000000003
1838-04-01,7.382999999999999
1838-05-01,9985
1838-06-01,12742
1838-07-01,14367
1838-08-01,13568
1838-09-01,11106
1838-10-01,8526
1838-11-01,5.16
1838-12-01,2613
1839-01-01,2156
1839-02-01,3.4819999999999998
1839-03-01,2673
1839-04-01,7.891999999999999
1839-05-01,10.289000000000001
1839-06-01,12548
1839-07-01,14411
1839-08-01,14.07
1839-09-01,10853
1839-10-01,8219
1839-11-01,3.92
1839-12-01,1.0739999999999998
1840-01-01,2.5610000000000004
1840-02-01,2.1020000000000003
1840-03-01,4.04
1840-04-01,7943
1840-05-01,11173
1840-06-01,13411
1840-07-01,14714
1840-08-01,13.085999999999999
1840-09-01,11.01
1840-10-01,7505
1840-11-01,4101
1840-12-01,1909
1841-01-01,0.6490000000000002
1841-02-01,2468
1841-03-01,3307
1841-04-01,6.77
1841-05-01,10.764000000000001
1841-06-01,13.062000000000001
1841-07-01,14552
1841-08-01,13708
1841-09-01,10921
1841-10-01,8.764999999999999
1841-11-01,4744
1841-12-01,2548
1842-01-01,1636
1842-02-01,2787
1842-03-01,5.75
1842-04-01,8.309999999999999
1842-05-01,10535
1842-06-01,12.629000000000001
1842-07-01,13.584000000000001
1842-08-01,13241
1842-09-01,10.94
1842-10-01,8307
1842-11-01,4824
1842-12-01,3.73
1843-01-01,2.9739999999999998
1843-02-01,3.92
1843-03-01,4744
1843-04-01,7.829999999999999
1843-05-01,10.04
1843-06-01,12.53
1843-07-01,13991
1843-08-01,13295
1843-09-01,11326
1843-10-01,8.722000000000001
1843-11-01,4947
1843-12-01,3765
1844-01-01,1868
1844-02-01,2.0380000000000003
1844-03-01,4734
1844-04-01,7.3889999999999985
1844-05-01,10109
1844-06-01,12.84
1844-07-01,13921
1844-08-01,13046
1844-09-01,10819
1844-10-01,8.7
1844-11-01,4401
1844-12-01,1891
1845-01-01,2661
1845-02-01,1.6269999999999998
1845-03-01,4651
1845-04-01,8158
1845-05-01,10433
1845-06-01,12863
1845-07-01,14319
1845-08-01,13556
1845-09-01,11.234000000000002
1845-10-01,7.781999999999999
1845-11-01,5194
1845-12-01,1.7359999999999998
1846-01-01,3213
1846-02-01,3.3760000000000003
1846-03-01,6314
1846-04-01,7.472999999999999
1846-05-01,10896
1846-06-01,13.53
1846-07-01,14923
1846-08-01,14.120999999999999
1846-09-01,11738
1846-10-01,8229
1846-11-01,5.0440000000000005
1846-12-01,3.7760000000000002
1847-01-01,2753
1847-02-01,3602
1847-03-01,4046
1847-04-01,7.979999999999999
1847-05-01,10622
1847-06-01,12828
1847-07-01,14.25
